"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","707","Тест перехода по логотипу Самоката","tests","Tue Jul 01 22:41:53 MSK 2025","passed","Tue Jul 01 22:41:54 MSK 2025","TestRedirectsPage","test_redirects","",""
"","8650","test_create_order[locator0-order_data0]","tests","Tue Jul 01 22:41:07 MSK 2025","passed","Tue Jul 01 22:41:16 MSK 2025","TestOrderPage","test_order_page","",""
"","896","test_questions_and_answers[1]","tests","Tue Jul 01 22:39:21 MSK 2025","passed","Tue Jul 01 22:39:22 MSK 2025","TestMainPage","test_main_page","",""
"","803","test_questions_and_answers[2]","tests","Tue Jul 01 22:39:37 MSK 2025","passed","Tue Jul 01 22:39:38 MSK 2025","TestMainPage","test_main_page","",""
"","835","test_questions_and_answers[0]","tests","Tue Jul 01 22:39:07 MSK 2025","passed","Tue Jul 01 22:39:07 MSK 2025","TestMainPage","test_main_page","",""
"","2086","Тест перехода по логотипу Яндекса","tests","Tue Jul 01 22:42:08 MSK 2025","passed","Tue Jul 01 22:42:10 MSK 2025","TestRedirectsPage","test_redirects","",""
"","786","test_questions_and_answers[3]","tests","Tue Jul 01 22:39:52 MSK 2025","passed","Tue Jul 01 22:39:53 MSK 2025","TestMainPage","test_main_page","",""
"","849","test_questions_and_answers[4]","tests","Tue Jul 01 22:40:07 MSK 2025","passed","Tue Jul 01 22:40:08 MSK 2025","TestMainPage","test_main_page","",""
"","804","test_questions_and_answers[7]","tests","Tue Jul 01 22:40:53 MSK 2025","passed","Tue Jul 01 22:40:54 MSK 2025","TestMainPage","test_main_page","",""
"","803","test_questions_and_answers[6]","tests","Tue Jul 01 22:40:38 MSK 2025","passed","Tue Jul 01 22:40:38 MSK 2025","TestMainPage","test_main_page","",""
"","8380","test_create_order[locator1-order_data1]","tests","Tue Jul 01 22:41:30 MSK 2025","passed","Tue Jul 01 22:41:38 MSK 2025","TestOrderPage","test_order_page","",""
"","800","test_questions_and_answers[5]","tests","Tue Jul 01 22:40:23 MSK 2025","passed","Tue Jul 01 22:40:24 MSK 2025","TestMainPage","test_main_page","",""
